!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:31:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1886000000,2886.823,0.44350982
1895500000,2811.7651,0.45148033
1905000000,2736.7952,0.45946535
1914500000,2697.9102,0.45877907
1924000000,2697.1621,0.45156646
1933500000,2711.6809,0.44433865
1943000000,2734.3621,0.43712592
1952500000,2761.5796,0.42989993
1962000000,2790.5449,0.42267221
1971500000,2847.563,0.41545823
1981000000,2893.907,0.40943322
1990500000,2924.9255,0.405283
2000000000,2960.6953,0.40113264
END

