!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 20:48:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1886000000,2882.0659,0.44350982
1895500000,2810.1611,0.45148033
1905000000,2732.5879,0.45946535
1914500000,2697.8955,0.45877907
1924000000,2694.9622,0.45156646
1933500000,2711.7234,0.44433865
1943000000,2731.9094,0.43712592
1952500000,2756.0413,0.42989993
1962000000,2790.5613,0.42267221
1971500000,2840.8086,0.41545823
1981000000,2890.8359,0.40943322
1990500000,2922.4622,0.405283
2000000000,2958.677,0.40113264
END

