!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 00:56:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),A_1(DB),A_1(DEG)
100000000,-104.02618,118.69902
109500000,-103.14948,-120.65862
119000000,-103.61451,16.423313
128500000,-104.37531,105.67196
138000000,-105.18598,159.79088
147500000,-101.86649,-12.75444
157000000,-102.81048,-84.930832
166500000,-102.94394,99.969864
176000000,-103.78678,177.15836
185500000,-103.95768,149.02188
195000000,-104.31428,-155.46713
204500000,-104.66245,-99.720047
214000000,-102.46651,-118.14822
223500000,-103.10079,-43.506493
233000000,-103.48065,-37.935772
242500000,-103.42459,51.637947
252000000,-98.54158,-34.148708
261500000,-99.250381,-35.193447
271000000,-99.439034,-150.38863
280500000,-99.657677,-94.347046
290000000,-99.943703,0.52326208
299500000,-100.00089,-8.0356274
309000000,-100.47637,-120.31329
318500000,-100.75197,-115.48061
328000000,-100.88783,94.911118
337500000,-101.17746,-21.299826
347000000,-101.17213,12.353441
356500000,-101.68118,-120.31003
366000000,-101.9388,-123.05955
375500000,-101.97123,-149.78452
385000000,-102.2767,140.82724
394500000,-102.01892,60.321487
404000000,-101.65134,-143.14882
413500000,-101.61214,-69.910698
423000000,-101.95949,-122.56646
432500000,-102.12449,-58.283379
442000000,-102.33736,102.75574
451500000,-102.21906,-4.5765781
461000000,-102.54778,144.25267
470500000,-102.73229,16.554686
480000000,-102.74998,0.61382532
489500000,-103.01952,-108.50605
499000000,-103.15259,102.78583
508500000,-103.45303,-95.979416
518000000,-103.66735,42.582508
527500000,-103.53127,103.03309
537000000,-103.4964,48.120476
546500000,-103.54917,-23.323261
556000000,-104.05377,122.45446
565500000,-103.93216,36.820351
575000000,-104.19852,120.37321
584500000,-104.26364,-153.88019
594000000,-104.261,113.36218
603500000,-104.5351,-172.72458
613000000,-104.55927,-154.31042
622500000,-104.56143,85.620125
632000000,-103.49404,31.196095
641500000,-103.52552,-98.153191
651000000,-103.57004,162.24588
660500000,-103.9137,-144.08368
670000000,-103.85011,-120.3643
679500000,-103.99617,-174.60397
689000000,-104.34225,-46.390694
698500000,-104.03697,18.427204
708000000,-104.12162,-29.402845
717500000,-104.03732,3.6364884
727000000,-104.42115,-57.66375
736500000,-104.55191,-142.79495
746000000,-104.35419,144.46291
755500000,-104.73173,11.145342
765000000,-104.61942,-78.933792
774500000,-105.00701,-17.270298
784000000,-104.40729,-54.605579
793500000,-104.50873,-140.13202
803000000,-104.94212,-78.310097
812500000,-104.89043,-71.580933
822000000,-105.05473,20.201399
831500000,-104.76195,-160.52477
841000000,-105.37104,-66.883255
850500000,-104.7954,-85.873047
860000000,-105.12024,-160.69286
869500000,-104.97471,-66.190117
879000000,-105.25045,44.722752
888500000,-105.58482,114.80782
898000000,-105.30199,136.52449
907500000,-105.26732,-111.5679
917000000,-105.46351,52.763382
926500000,-105.23753,-15.267235
936000000,-105.50839,75.896339
945500000,-105.56731,24.45816
955000000,-105.55753,-128.64795
964500000,-105.17374,-167.98723
974000000,-105.61894,-166.80034
983500000,-105.43458,-36.39719
993000000,-105.46961,-150.51653
1002500000,-103.11372,-164.71527
1012000000,-102.8839,41.52467
1021500000,-102.94985,-7.5491948
1031000000,-103.06412,-57.024372
1040500000,-102.94717,57.380039
1050000000,-102.85587,2.7427082
1059500000,-102.94064,-52.439716
1069000000,-103.10775,-132.04796
1078500000,-102.93875,-46.553616
1088000000,-103.10488,111.06025
1097500000,-103.04624,172.42285
1107000000,-102.9463,-102.33679
1116500000,-103.11426,60.117844
1126000000,-102.97325,-59.820553
1135500000,-103.03664,-67.185349
1145000000,-103.07795,-41.343994
1154500000,-102.98146,-107.00452
1164000000,-103.29752,-33.372959
1173500000,-103.03017,147.7942
1183000000,-103.09236,22.040031
1192500000,-103.24075,63.12096
1202000000,-102.93991,45.977062
1211500000,-103.23087,-119.31984
1221000000,-103.1741,29.468292
1230500000,-103.18317,162.76765
1240000000,-103.18227,-41.539101
1249500000,-102.92572,-118.68686
1259000000,-103.17928,139.00256
1268500000,-103.15128,-168.40892
1278000000,-103.09,-162.96075
1287500000,-103.14973,-53.826077
1297000000,-103.36214,4.3701005
1306500000,-102.98567,-107.16322
1316000000,-102.98116,26.323639
1325500000,-103.24393,-9.9977207
1335000000,-103.02628,-136.76225
1344500000,-103.11047,-125.86153
1354000000,-103.09505,142.40623
1363500000,-103.12333,-43.351158
1373000000,-103.05563,-10.035261
1382500000,-103.08171,28.338442
1392000000,-103.08514,-172.7872
1401500000,-102.85371,170.53467
1411000000,-103.1272,-80.597626
1420500000,-102.86256,-158.66129
1430000000,-102.8744,-157.4453
1439500000,-102.82511,107.83862
1449000000,-102.99678,-111.80694
1458500000,-102.64378,8.4631948
1468000000,-102.66124,88.321381
1477500000,-102.87438,-74.801697
1487000000,-103.08797,13.630846
1496500000,-103.05543,153.26099
1506000000,-105.40771,20.166109
1515500000,-105.42886,80.061966
1525000000,-105.46078,110.38521
1534500000,-105.65799,82.304749
1544000000,-105.40861,171.63304
1553500000,-105.30954,98.962509
1563000000,-105.60853,-15.80131
1572500000,-105.41238,-71.51667
1582000000,-105.40733,0.27069598
1591500000,-105.37222,158.17598
1601000000,-105.61275,-144.49251
1610500000,-105.63427,41.103481
1620000000,-105.12571,31.13344
1629500000,-105.29518,38.839497
1639000000,-105.04897,-125.11251
1648500000,-105.42603,-83.598938
1658000000,-105.11173,-93.666603
1667500000,-105.01244,-96.011955
1677000000,-105.03979,179.70821
1686500000,-105.1437,-100.58138
1696000000,-105.14983,48.377716
1705500000,-105.24057,23.026499
1715000000,-105.06924,110.32696
1724500000,-105.1506,-67.300758
1734000000,-105.01867,75.239601
1743500000,-104.94476,-23.89152
1753000000,-104.88912,-119.10794
1762500000,-104.85078,28.648798
1772000000,-104.813,70.509865
1781500000,-104.84718,-85.735252
1791000000,-104.72105,-142.62186
1800500000,-104.57575,129.10014
1810000000,-104.78309,6.9498305
