!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 22:06:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,235.04373,1379.6732
109500000,272.63266,1402.63
119000000,282.0564,1408.4152
128500000,303.78397,1410.1633
138000000,310.25021,1413.0128
147500000,478.74127,1425.1312
157000000,285.68527,1427.7474
166500000,326.02966,1430.2966
176000000,326.38681,1434.38
185500000,328.29926,1431.1163
195000000,324.59647,1437.505
204500000,338.74332,1450.1285
214000000,318.57065,1467.1598
223500000,317.78174,1486.092
233000000,318.83142,1508.6317
242500000,322.96744,1522.594
252000000,328.62479,1527.7551
261500000,329.35645,1531.2842
271000000,326.6062,1526.866
280500000,325.26419,1520.7412
290000000,324.6398,1517.5059
299500000,319.94547,1523.9122
309000000,309.82477,1525.6158
318500000,322.99658,1519.6378
328000000,357.3114,1516.5132
337500000,331.58127,1528.8375
347000000,385.40619,1542.2444
356500000,403.68912,1522.9694
366000000,387.44397,1521.9944
375500000,326.845,1521.719
385000000,284.43649,1533.9679
394500000,288.38852,1546.2133
404000000,295.89972,1563.5359
413500000,280.61237,1587.8861
423000000,299.53568,1612.2563
432500000,319.98917,1624.5881
442000000,332.02017,1633.6589
451500000,331.95941,1640.7902
461000000,365.24652,1637.4911
470500000,357.21625,1634.1389
480000000,346.6207,1629.0339
489500000,343.33249,1622.3418
499000000,335.89462,1615.6162
508500000,323.23447,1618.2902
518000000,326.69171,1622.1162
527500000,330.77405,1626.7411
537000000,322.39078,1633.6652
546500000,335.38806,1640.6313
556000000,333.56766,1661.6575
565500000,324.01294,1690.8878
575000000,329.69562,1720.1378
584500000,334.19949,1751.7628
594000000,331.60846,1783.406
603500000,328.29578,1800.8688
613000000,343.36261,1793.9938
622500000,334.78345,1787.1162
632000000,332.67526,1785.531
641500000,330.45691,1785.8696
651000000,326.39584,1785.1011
660500000,319.99182,1774.8696
670000000,320.93274,1764.6378
679500000,312.25684,1751.7826
689000000,306.65274,1735.9951
698500000,316.39996,1720.1635
708000000,313.02103,1707.1635
717500000,315.65472,1694.724
727000000,333.49454,1685.1378
736500000,359.62488,1686.4972
746000000,352.24097,1687.849
755500000,335.42212,1700.4646
765000000,350.47983,1711.8833
774500000,355.58392,1723.347
784000000,344.2298,1734.7628
793500000,331.72729,1747.4719
803000000,364.13284,1765.2587
812500000,369.73962,1783.0941
822000000,359.70834,1800.8837
831500000,336.56885,1818.7178
841000000,328.5296,1829.1361
850500000,319.31796,1837.8511
860000000,315.31979,1846.5111
869500000,320.87805,1855.2261
879000000,319.25769,1859.9692
888500000,307.70416,1859.2445
898000000,306.08957,1858.5134
907500000,313.90384,1857.8451
917000000,319.68274,1857.1604
926500000,322.25851,1858.5297
936000000,328.10071,1859.8861
945500000,332.57703,1861.2439
955000000,327.68402,1862.6162
964500000,334.87271,1873.5341
974000000,343.98856,1889.7242
983500000,346.707,1905.8663
993000000,336.73132,1922.0087
1002500000,324.56467,1939.7826
1012000000,318.00381,1962.2244
1021500000,313.79242,1984.6165
1031000000,311.51807,2007.0083
1040500000,324.73599,2029.4021
1050000000,317.18372,2018.9076
1059500000,311.56784,2003.8535
1069000000,315.16998,1988.7562
1078500000,323.59195,1973.6547
1088000000,335.13937,1959.1312
1097500000,340.75952,1945.1372
1107000000,341.73584,1931.1558
1116500000,340.81506,1917.1591
1126000000,338.13153,1904.2202
1135500000,364.91446,1899.5341
1145000000,372.65878,1894.9059
1154500000,366.13388,1890.281
1164000000,347.31033,1885.6385
1173500000,326.3342,1911.4091
1183000000,309.30542,1949.101
1192500000,311.11444,1986.7438
1202000000,321.36435,2024.3882
1211500000,326.72751,2059.9736
1221000000,307.10187,2091.2764
1230500000,306.38458,2122.6284
1240000000,318.65741,2153.9946
1249500000,346.34357,2185.2827
1259000000,332.1698,2181.4812
1268500000,326.03922,2175.6584
1278000000,327.53726,2169.8682
1287500000,327.60306,2164.0933
1297000000,336.48923,2150.4138
1306500000,356.98679,2130.6621
1316000000,361.7897,2110.9045
1325500000,345.76379,2091.1392
1335000000,331.21814,2077.5002
1344500000,348.12671,2092.5117
1354000000,344.34589,2107.5337
1363500000,327.72073,2122.6013
1373000000,329.8613,2137.6216
1382500000,299.37607,2182.0334
1392000000,267.80734,2234.3494
1401500000,258.35602,2286.6111
1411000000,280.08752,2338.8938
1420500000,296.49173,2376.0071
1430000000,279.26111,2390.7322
1439500000,275.62503,2405.4043
1449000000,291.33429,2420.1035
1458500000,312.70218,2433.7571
1468000000,320.99927,2389.0259
1477500000,328.47186,2344.28
1487000000,334.61121,2299.5884
1496500000,321.92142,2254.8579
1506000000,353.37595,2183.0115
