!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 15:15:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
1800500000,-163.66289,0.0073820655
1810000000,-163.59845,0.0072909328
1819500000,-163.52299,0.0071827378
1829000000,-163.45581,0.0070895897
1838500000,-163.38431,0.0069906651
1848000000,-163.38724,0.007102374
1857500000,-163.42787,0.0073081432
1867000000,-163.46721,0.0075147883
1876500000,-163.55536,0.0078118648
1886000000,-163.64658,0.0081239361
1895500000,-163.75735,0.0084836129
1905000000,-163.86259,0.0088454215
1914500000,-163.93173,0.0089739496
1924000000,-163.92253,0.0088141691
1933500000,-163.9059,0.0086399224
1943000000,-163.88313,0.0084552458
1952500000,-163.84825,0.0082489653
1962000000,-163.78778,0.0079981266
1971500000,-163.72394,0.0077468837
1981000000,-163.66693,0.0075349943
1990500000,-163.62004,0.0073785111
2000000000,-163.57295,0.007224205
END

