!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:16:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1886000000,2884.4446,0.44350982
1895500000,2807.4509,0.45148033
1905000000,2727.0447,0.45946535
1914500000,2694.2493,0.45877907
1924000000,2699.1758,0.45156646
1933500000,2708.7861,0.44433865
1943000000,2727.1733,0.43712592
1952500000,2755.2864,0.42989993
1962000000,2793.2249,0.42267221
1971500000,2839.8682,0.41545823
1981000000,2885.0627,0.40943322
1990500000,2918.167,0.405283
2000000000,2958.2012,0.40113264
END

