!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 21:51:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1876500000,2951.6941,0.43552503
1886000000,2884.5562,0.44350982
1895500000,2809.2271,0.45148033
1905000000,2728.3303,0.45946535
1914500000,2693.5974,0.45877907
1924000000,2699.2727,0.45156646
1933500000,2709.2612,0.44433865
1943000000,2726.1575,0.43712592
1952500000,2756.167,0.42989993
1962000000,2793.4751,0.42267221
1971500000,2839.606,0.41545823
1981000000,2883.9963,0.40943322
1990500000,2919.748,0.405283
2000000000,2959.1348,0.40113264
END

