!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 14:59:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
1810000000,-163.93431,0.007877158
1819500000,-163.85442,0.0077523459
1829000000,-163.78796,0.0076530888
1838500000,-163.72551,0.0075620231
1848000000,-163.72992,0.0076854913
1857500000,-163.76398,0.0078962129
1867000000,-163.8201,0.0081509044
1876500000,-163.89719,0.0084515717
1886000000,-163.99268,0.0087978663
1895500000,-164.11023,0.0092016971
1905000000,-164.24048,0.0096495571
1914500000,-164.29312,0.0097526377
1924000000,-164.28229,0.0095753865
1933500000,-164.26471,0.0093840603
1943000000,-164.23703,0.0091730896
1952500000,-164.19087,0.008926088
1962000000,-164.13197,0.0086577814
1971500000,-164.06079,0.0083716949
1981000000,-163.99147,0.0081196213
1990500000,-163.94154,0.0079454565
2000000000,-163.88448,0.0077614388
END

