!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:04:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
1819500000,-163.86157,0.0077651241
1829000000,-163.79141,0.0076591549
1838500000,-163.72868,0.0075675552
1848000000,-163.7377,0.0076992908
1857500000,-163.77127,0.0079094656
1867000000,-163.83054,0.0081705162
1876500000,-163.9073,0.0084712887
1886000000,-164.00282,0.0088184541
1895500000,-164.11513,0.0092120701
1905000000,-164.24443,0.0096583329
1914500000,-164.29845,0.0097645978
1924000000,-164.29276,0.0095984889
1933500000,-164.27435,0.0094049498
1943000000,-164.24651,0.009193127
1952500000,-164.20399,0.0089530973
1962000000,-164.13922,0.0086722709
1971500000,-164.06744,0.0083845267
1981000000,-164.00256,0.0081403991
1990500000,-163.94873,0.0079586282
2000000000,-163.88834,0.0077683264
END

