!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 06:59:10
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1886000000,2888.988,0.44350982
1895500000,2814.6292,0.45148033
1905000000,2730.8669,0.45946535
1914500000,2697.4065,0.45877907
1924000000,2703.072,0.45156646
1933500000,2714.0198,0.44433865
1943000000,2731.999,0.43712592
1952500000,2759.2222,0.42989993
1962000000,2797.8408,0.42267221
1971500000,2842.1213,0.41545823
1981000000,2892.208,0.40943322
1990500000,2923.5859,0.405283
2000000000,2961.3987,0.40113264
END

