!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Friday, February 03, 2023 14:55:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
1819500000,-163.84537,0.0077361907
1829000000,-163.7755,0.0076311473
1838500000,-163.70767,0.0075310147
1848000000,-163.7144,0.0076580811
1857500000,-163.75363,0.0078774272
1867000000,-163.80899,0.0081300912
1876500000,-163.88251,0.0084230751
1886000000,-163.84772,0.0085090697
1895500000,-164.09622,0.0091720847
1905000000,-164.22025,0.0096046841
1914500000,-164.27199,0.0097052921
1924000000,-164.26605,0.0095396563
1933500000,-164.24733,0.0093466034
1943000000,-164.22038,0.0091379946
1952500000,-164.17487,0.0088932607
1962000000,-164.12029,0.00863453
1971500000,-164.04846,0.0083479462
1981000000,-163.98232,0.0081025371
1990500000,-163.92625,0.0079175476
2000000000,-163.87012,0.007735814
END

