!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 07:51:44
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
1810000000,-163.93506,0.007878528
1819500000,-163.86522,0.0077716457
1829000000,-163.78525,0.0076482971
1838500000,-163.72464,0.0075604967
1848000000,-163.72742,0.0076810741
1857500000,-163.77112,0.0079092029
1867000000,-163.82132,0.0081532095
1876500000,-163.89867,0.0084544588
1886000000,-163.99854,0.0088097407
1895500000,-164.1149,0.009211611
1905000000,-164.23697,0.0096417377
1914500000,-164.28844,0.0097421398
1924000000,-164.29086,0.0095943082
1933500000,-164.27168,0.0093991514
1943000000,-164.23711,0.0091732591
1952500000,-164.1954,0.0089353956
1962000000,-164.14337,0.0086805448
1971500000,-164.06908,0.0083876783
1981000000,-163.99316,0.0081228102
1990500000,-163.94482,0.0079514673
2000000000,-163.89476,0.0077798408
END

