!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 21:43:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1886000000,2885.01,0.44350982
1895500000,2808.3484,0.45148033
1905000000,2735.0464,0.45946535
1914500000,2695.3547,0.45877907
1924000000,2699.3652,0.45156646
1933500000,2708.2952,0.44433865
1943000000,2731.5217,0.43712592
1952500000,2759.9841,0.42989993
1962000000,2793.5322,0.42267221
1971500000,2838.8318,0.41545823
1981000000,2889.1118,0.40943322
1990500000,2922.4795,0.405283
2000000000,2957.6213,0.40113264
END

