!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 00:02:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
100000000,-166.52296,0.018206725
109500000,-166.36389,0.013204746
119000000,-166.31708,0.012247948
128500000,-166.26715,0.013397814
138000000,-166.24294,0.016636109
147500000,-165.81224,0.013426897
157000000,-166.26994,0.016666306
166500000,-166.16043,0.016023722
176000000,-166.1474,0.016042333
185500000,-166.14583,0.015789788
195000000,-166.1474,0.015340286
204500000,-166.07713,0.01438689
214000000,-166.08504,0.013500824
223500000,-166.04059,0.012586343
233000000,-165.99109,0.011937992
242500000,-165.94258,0.011417422
252000000,-165.92033,0.011029547
261500000,-165.90971,0.010671267
271000000,-165.92178,0.010412314
280500000,-165.944,0.010258972
290000000,-165.95847,0.010212163
299500000,-165.9456,0.010294349
309000000,-165.96404,0.010823623
318500000,-165.95033,0.011450896
328000000,-165.87877,0.011692937
337500000,-165.90483,0.011516022
347000000,-165.75221,0.0088481596
356500000,-165.75536,0.009898847
366000000,-165.78979,0.0098022101
375500000,-165.93239,0.0099435495
385000000,-166.00258,0.0098343734
394500000,-165.96103,0.0094721094
404000000,-165.90111,0.0092883008
413500000,-165.88496,0.009489526
423000000,-165.78128,0.0094954753
432500000,-165.71696,0.0097180661
442000000,-165.66609,0.0099985404
451500000,-165.65063,0.010298205
461000000,-165.58514,0.010175305
470500000,-165.61339,0.010273064
480000000,-165.64644,0.010217767
489500000,-165.66277,0.0099725351
499000000,-165.70444,0.0097822556
508500000,-165.71797,0.0094972961
518000000,-165.70738,0.0091561005
527500000,-165.68608,0.0088472208
537000000,-165.68869,0.0087356176
546500000,-165.64955,0.0085411696
556000000,-165.60767,0.0084147453
565500000,-165.55421,0.0083085429
575000000,-165.48595,0.0081758229
584500000,-165.41304,0.0080456864
594000000,-165.3504,0.0079363585
603500000,-165.31097,0.007878433
613000000,-165.30663,0.0078976527
622500000,-165.33946,0.0079848077
632000000,-165.3407,0.0079056658
641500000,-165.34067,0.0077854912
651000000,-165.35384,0.007694616
660500000,-165.39046,0.0076969587
670000000,-165.41211,0.0076721795
679500000,-165.45039,0.0077603925
689000000,-165.50247,0.0079688411
698500000,-165.5159,0.0081087109
708000000,-165.54134,0.0083612837
717500000,-165.5587,0.0086173723
727000000,-165.55521,0.0087853391
736500000,-165.49329,0.0086576222
746000000,-165.5045,0.0086768381
755500000,-165.51102,0.010289134
765000000,-165.46217,0.010634521
774500000,-165.42813,0.011008336
784000000,-165.41945,0.011442473
793500000,-165.42108,0.011808463
803000000,-165.3233,0.011512939
812500000,-165.2664,0.011331181
822000000,-165.24983,0.011256093
831500000,-165.26953,0.011275318
841000000,-165.26595,0.011148587
850500000,-165.25642,0.010987045
860000000,-165.24611,0.010823758
869500000,-165.22754,0.010641368
879000000,-165.21674,0.010554174
888500000,-165.23738,0.010647913
898000000,-165.24274,0.01070446
907500000,-165.24292,0.010748143
917000000,-165.22517,0.010748304
926500000,-165.21019,0.010776805
936000000,-165.20547,0.010830365
945500000,-165.19443,0.010868137
955000000,-165.19496,0.010934855
964500000,-165.15913,0.010768005
974000000,-165.11137,0.010498308
983500000,-165.08113,0.010274604
993000000,-165.05881,0.010071798
1002500000,-165.05092,0.0098909298
1012000000,-165.02454,0.0096344957
1021500000,-164.98892,0.0093607409
1031000000,-164.94307,0.0090695089
1040500000,-164.87949,0.008747614
1050000000,-164.91843,0.0088689923
1059500000,-164.95303,0.0090157744
1069000000,-164.97011,0.0091275722
1078500000,-164.9864,0.0092382869
1088000000,-164.99423,0.0093559157
1097500000,-165.01216,0.0095209349
1107000000,-165.03128,0.0096898228
1116500000,-165.06181,0.0098859556
1126000000,-165.09435,0.010061976
1135500000,-165.04813,0.0098298294
1145000000,-165.04094,0.0096882898
1154500000,-165.06433,0.0096145403
1164000000,-165.11714,0.009604522
1173500000,-165.092,0.009211232
1183000000,-165.05269,0.0087117413
1192500000,-164.99089,0.0081780953
1202000000,-164.89252,0.0075935121
1211500000,-164.81174,0.0071223243
1221000000,-164.78857,0.0068791755
1230500000,-164.74391,0.0066056703
1240000000,-164.66537,0.0062877443
1249500000,-164.55879,0.0059407367
1259000000,-164.593,0.0060098856
1268500000,-164.62065,0.0060826321
1278000000,-164.62733,0.0061263931
1287500000,-164.62605,0.0061591114
1297000000,-164.6346,0.0062086117
1306500000,-164.6433,0.0062607666
1316000000,-164.66661,0.0063344478
1325500000,-164.71286,0.0064427755
1335000000,-164.77406,0.0065333322
1344500000,-164.72919,0.0062712478
1354000000,-164.7047,0.0060420041
1363500000,-164.69215,0.0058312085
1373000000,-164.67595,0.0056167678
1382500000,-164.66156,0.0054453262
1392000000,-164.60609,0.005235638
1401500000,-164.53096,0.0050075343
1411000000,-164.4185,0.004744933
1420500000,-164.32944,0.0045942646
1430000000,-164.3286,0.0046537165
1439500000,-164.31015,0.0046941582
1449000000,-164.26929,0.0047098342
1458500000,-164.21347,0.0047108452
1468000000,-164.26352,0.0049603637
1477500000,-164.32245,0.0052256961
1487000000,-164.39615,0.0055161058
1496500000,-164.48946,0.0058412389
1506000000,-164.56065,0.010264532
1515500000,-164.55963,0.010112426
