!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:35:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1886000000,2885.9316,0.44350982
1895500000,2808.6812,0.45148033
1905000000,2731.9395,0.45946535
1914500000,2702.2776,0.45877907
1924000000,2702.5586,0.45156646
1933500000,2709.5769,0.44433865
1943000000,2731.4146,0.43712592
1952500000,2758.7297,0.42989993
1962000000,2794.5452,0.42267221
1971500000,2842.8845,0.41545823
1981000000,2889.4604,0.40943322
1990500000,2924.0234,0.405283
2000000000,2958.3928,0.40113264
END

