!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:38:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1886000000,2890.426,0.44350982
1895500000,2814.6936,0.45148033
1905000000,2729.9961,0.45946535
1914500000,2695.071,0.45877907
1924000000,2704.1016,0.45156646
1933500000,2716.8745,0.44433865
1943000000,2727.6543,0.43712592
1952500000,2758.7466,0.42989993
1962000000,2797.7319,0.42267221
1971500000,2848.3416,0.41545823
1981000000,2886.7717,0.40943322
1990500000,2923.3645,0.405283
2000000000,2964.4426,0.40113264
END

