!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 12:33:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(DB),DUTNPD(DEG)
100000000,-174.89279,80.342957
109500000,-174.25972,79.040741
119000000,-174.05089,78.560806
128500000,-173.77782,77.854553
138000000,-173.67079,77.585129
147500000,-171.81462,71.496834
157000000,-174.05305,78.717216
166500000,-173.50314,77.263184
176000000,-173.45894,77.172615
185500000,-173.47141,77.179955
195000000,-173.47586,77.247704
204500000,-173.29402,76.832916
214000000,-173.55585,77.718468
223500000,-173.60765,78.009888
233000000,-173.58582,78.126083
242500000,-173.48436,77.9618
252000000,-173.42612,77.844063
261500000,-173.45917,77.960533
271000000,-173.45607,77.918358
280500000,-173.51381,78.026642
290000000,-173.50253,77.971588
299500000,-173.55106,78.150009
309000000,-173.66403,78.458557
318500000,-173.49898,77.978416
328000000,-173.09608,76.822563
337500000,-173.41341,77.817879
347000000,-172.75034,76.001274
356500000,-172.5264,75.113945
366000000,-172.70491,75.67955
375500000,-173.45869,77.885788
385000000,-174.03712,79.442612
394500000,-173.95776,79.335602
404000000,-173.86377,79.225624
413500000,-174.09348,79.922295
423000000,-173.81227,79.421997
432500000,-173.51547,78.776138
442000000,-173.3772,78.485222
451500000,-173.39163,78.570992
461000000,-172.95612,77.377609
470500000,-173.06885,77.666595
480000000,-173.21677,78.031219
489500000,-173.20912,77.96273
499000000,-173.3441,78.273552
508500000,-173.47952,78.642326
518000000,-173.4845,78.681068
527500000,-173.40639,78.512955
537000000,-173.48714,78.765701
546500000,-173.34006,78.437019
556000000,-173.37785,78.675888
565500000,-173.47778,79.113808
575000000,-173.37894,79.054062
584500000,-173.35098,79.179237
594000000,-173.41818,79.526421
603500000,-173.37276,79.519104
613000000,-173.23659,79.152573
622500000,-173.3726,79.439896
632000000,-173.37137,79.427773
641500000,-173.36014,79.402969
651000000,-173.43559,79.577103
660500000,-173.51999,79.715714
670000000,-173.5437,79.712479
679500000,-173.59166,79.749969
689000000,-173.73607,79.990005
698500000,-173.61629,79.623383
708000000,-173.64903,79.622932
717500000,-173.52196,79.245209
727000000,-173.35359,78.768661
736500000,-173.03452,77.946091
746000000,-173.12263,78.190521
755500000,-173.32762,78.802254
765000000,-173.14828,78.418495
774500000,-173.10587,78.383598
784000000,-173.22009,78.749863
793500000,-173.3493,79.149193
803000000,-173.00491,78.392464
812500000,-172.90436,78.243614
822000000,-173.00102,78.606079
831500000,-173.33781,79.537697
841000000,-173.46107,79.881012
850500000,-173.52397,80.069931
860000000,-173.52083,80.108574
869500000,-173.49065,80.086807
879000000,-173.56035,80.265984
888500000,-173.65915,80.477234
898000000,-173.69539,80.551285
907500000,-173.6774,80.50943
917000000,-173.53532,80.196312
926500000,-173.45152,80.016319
936000000,-173.4068,79.922295
945500000,-173.37656,79.860573
955000000,-173.42929,79.987701
964500000,-173.32335,79.804153
974000000,-173.18977,79.580704
983500000,-173.19858,79.687515
993000000,-173.2923,79.986168
1002500000,-173.42036,80.358971
1012000000,-173.55403,80.75106
1021500000,-173.63785,81.025597
1031000000,-173.61839,81.084923
1040500000,-173.43399,80.805649
1050000000,-173.56441,81.02755
1059500000,-173.64796,81.13073
1069000000,-173.58786,80.942017
1078500000,-173.41119,80.501732
1088000000,-173.33687,80.270599
1097500000,-173.27144,80.05616
1107000000,-173.21823,79.864731
1116500000,-173.21574,79.786552
1126000000,-173.28804,79.884857
1135500000,-172.97174,79.112083
1145000000,-172.83424,78.743881
1154500000,-172.9054,78.89579
1164000000,-173.21907,79.627312
1173500000,-173.40836,80.192055
1183000000,-173.56845,80.7202
1192500000,-173.64548,81.050522
1202000000,-173.51384,80.948357
1211500000,-173.4149,80.900574
1221000000,-173.59752,81.398087
1230500000,-173.67274,81.666794
1240000000,-173.54942,81.553261
1249500000,-173.18922,80.963776
1259000000,-173.32036,81.213257
1268500000,-173.43283,81.411919
1278000000,-173.45767,81.437737
1287500000,-173.38591,81.274399
1297000000,-173.2128,80.868576
1306500000,-173.04716,80.433647
1316000000,-173.05067,80.353462
1325500000,-173.10345,80.379402
1335000000,-173.272,80.679413
1344500000,-173.17992,80.550323
1354000000,-173.25925,80.783386
1363500000,-173.2899,80.911018
1373000000,-173.30676,81.008202
1382500000,-173.85519,82.220039
1392000000,-174.33505,83.187141
1401500000,-174.30199,83.291016
1411000000,-174.01772,83.000168
1420500000,-173.8812,82.890572
1430000000,-174.17313,83.389084
1439500000,-174.07426,83.279114
1449000000,-173.90866,83.062393
1458500000,-173.63826,82.662437
1468000000,-173.4911,82.272087
1477500000,-173.33075,81.834167
1487000000,-173.27342,81.56868
1496500000,-173.50829,81.850189
1506000000,-173.18597,80.947876
1515500000,-173.00223,80.539032
1525000000,-173.00905,80.529022
1534500000,-173.21425,80.935036
1544000000,-173.39063,81.267067
1553500000,-173.41357,81.289467
1563000000,-173.47385,81.384979
1572500000,-173.70717,81.917427
1582000000,-174.12212,82.838341
1591500000,-174.21793,83.172142
1601000000,-174.29793,83.462906
1610500000,-174.24557,83.545288
1620000000,-173.94907,83.257446
1629500000,-173.64297,82.93737
1639000000,-173.42371,82.672775
1648500000,-173.3849,82.515228
1658000000,-173.34201,82.3461
1667500000,-173.30307,82.17897
1677000000,-173.29388,82.060822
1686500000,-173.27667,81.924866
1696000000,-173.27277,81.809967
1705500000,-173.24411,81.661224
1715000000,-173.31334,81.836182
1724500000,-173.41188,82.060616
1734000000,-173.40405,82.089645
1743500000,-173.44885,82.211952
1753000000,-173.48354,82.314766
1762500000,-173.42847,82.259483
1772000000,-173.24971,81.981079
1781500000,-173.45593,82.47979
1791000000,-173.67261,82.969711
1800500000,-173.76805,83.241791
1810000000,-173.59692,83.094017
1819500000,-173.4617,82.99836
1829000000,-173.43074,83.066132
1838500000,-173.48033,83.256493
1848000000,-173.09393,82.550316
1857500000,-172.68901,81.655708
1867000000,-172.54059,81.179993
1876500000,-172.51878,80.937248
1886000000,-172.53198,80.756493
1895500000,-172.68626,80.863632
1905000000,-173.04608,81.375717
1914500000,-173.35135,81.916458
1924000000,-173.50673,82.277359
1933500000,-173.72679,82.729538
1943000000,-173.85617,83.012138
1952500000,-173.8564,83.082298
1962000000,-173.60013,82.738876
1971500000,-173.28258,82.270958
1981000000,-173.1192,82.064903
1990500000,-173.0847,82.101204
2000000000,-172.98262,82.014328
END

