!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 06:59:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(DB),SYSNPD(DEG)
1819500000,-163.85291,0.0077496418
1829000000,-163.78947,0.0076557477
1838500000,-163.72935,0.0075687184
1848000000,-163.73172,0.0076886918
1857500000,-163.76132,0.0078913793
1867000000,-163.82286,0.0081560994
1876500000,-163.90132,0.0084596286
1886000000,-163.99651,0.0088056354
1895500000,-164.10751,0.0091959331
1905000000,-164.24251,0.0096540591
1914500000,-164.30176,0.0097720539
1924000000,-164.28259,0.009576085
1933500000,-164.26526,0.0093852524
1943000000,-164.24696,0.0091940984
1952500000,-164.20245,0.0089499224
1962000000,-164.13547,0.0086647701
1971500000,-164.06264,0.0083752414
1981000000,-163.99965,0.00813495
1990500000,-163.94614,0.0079538785
2000000000,-163.88855,0.0077687232
END

