!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 22:14:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1876500000,2948.7236,0.43552503
1886000000,2887.2354,0.44350982
1895500000,2813.9238,0.45148033
1905000000,2727.6545,0.45946535
1914500000,2692.2366,0.45877907
1924000000,2703.468,0.45156646
1933500000,2713.6975,0.44433865
1943000000,2725.2266,0.43712592
1952500000,2753.3977,0.42989993
1962000000,2798.2681,0.42267221
1971500000,2844.1978,0.41545823
1981000000,2883.8823,0.40943322
1990500000,2919.771,0.405283
2000000000,2962.6511,0.40113264
END

