!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 19:47:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,238.17363,1379.6732
109500000,272.44873,1402.63
119000000,285.21698,1408.4152
128500000,303.9433,1410.1633
138000000,312.13177,1413.0128
147500000,480.20642,1425.1312
157000000,285.1821,1427.7474
166500000,325.84384,1430.2966
176000000,327.33221,1434.38
185500000,329.29562,1431.1163
195000000,327.25342,1437.505
204500000,340.75818,1450.1285
214000000,321.19006,1467.1598
223500000,319.32077,1486.092
233000000,319.51276,1508.6317
242500000,325.3869,1522.594
252000000,329.19116,1527.7551
261500000,328.85632,1531.2842
271000000,327.00665,1526.866
280500000,323.41403,1520.7412
290000000,322.1713,1517.5059
299500000,320.48538,1523.9122
309000000,310.74515,1525.6158
318500000,323.63919,1519.6378
328000000,357.06836,1516.5132
337500000,332.40018,1528.8375
347000000,384.92267,1542.2444
356500000,404.25641,1522.9694
366000000,388.24677,1521.9944
375500000,322.97147,1521.719
385000000,285.07999,1533.9679
394500000,289.97156,1546.2133
404000000,297.05026,1563.5359
413500000,281.24472,1587.8861
423000000,300.43283,1612.2563
432500000,320.64902,1624.5881
442000000,331.64575,1633.6589
451500000,331.34622,1640.7902
461000000,367.0014,1637.4911
470500000,356.08871,1634.1389
480000000,345.2941,1629.0339
489500000,342.54361,1622.3418
499000000,335.93817,1615.6162
508500000,324.71124,1618.2902
518000000,324.60776,1622.1162
527500000,330.02887,1626.7411
537000000,322.52841,1633.6652
546500000,332.43463,1640.6313
556000000,328.68518,1661.6575
565500000,324.38318,1690.8878
575000000,330.67719,1720.1378
584500000,330.96597,1751.7628
594000000,326.86514,1783.406
603500000,330.67239,1800.8688
613000000,342.45422,1793.9938
622500000,332.5563,1787.1162
632000000,331.23651,1785.531
641500000,331.65793,1785.8696
651000000,325.52057,1785.1011
660500000,318.60025,1774.8696
670000000,316.15851,1764.6378
679500000,311.77325,1751.7826
689000000,304.64343,1735.9951
698500000,311.72079,1720.1635
708000000,309.94095,1707.1635
717500000,319.36829,1694.724
727000000,331.01392,1685.1378
736500000,357.64981,1686.4972
746000000,351.73969,1687.849
755500000,335.03696,1700.4646
765000000,348.50519,1711.8833
774500000,350.74991,1723.347
784000000,342.04868,1734.7628
793500000,332.61447,1747.4719
803000000,360.45789,1765.2587
812500000,369.20914,1783.0941
822000000,360.63068,1800.8837
831500000,335.67398,1818.7178
841000000,323.37711,1829.1361
850500000,319.02798,1837.8511
860000000,318.61371,1846.5111
869500000,319.59885,1855.2261
879000000,317.68832,1859.9692
888500000,306.94876,1859.2445
898000000,306.12936,1858.5134
907500000,309.49954,1857.8451
917000000,316.14902,1857.1604
926500000,322.37039,1858.5297
936000000,328.40231,1859.8861
945500000,327.43954,1861.2439
955000000,326.048,1862.6162
964500000,335.45557,1873.5341
974000000,344.63461,1889.7242
983500000,339.93713,1905.8663
993000000,334.72308,1922.0087
1002500000,323.95038,1939.7826
1012000000,316.3526,1962.2244
1021500000,309.31412,1984.6165
1031000000,310.44019,2007.0083
1040500000,323.01605,2029.4021
1050000000,314.93719,2018.9076
1059500000,308.07382,2003.8535
1069000000,312.15811,1988.7562
1078500000,324.11676,1973.6547
1088000000,333.79056,1959.1312
1097500000,337.62448,1945.1372
1107000000,340.94595,1931.1558
1116500000,341.98654,1917.1591
1126000000,334.4465,1904.2202
1135500000,358.00684,1899.5341
1145000000,372.1138,1894.9059
1154500000,365.41663,1890.281
1164000000,340.27496,1885.6385
1173500000,323.53467,1911.4091
1183000000,313.34158,1949.101
1192500000,309.21445,1986.7438
1202000000,316.63309,2024.3882
1211500000,327.32394,2059.9736
1221000000,311.24677,2091.2764
1230500000,304.96948,2122.6284
1240000000,313.64529,2153.9946
1249500000,345.4866,2185.2827
1259000000,334.71463,2181.4812
1268500000,325.4621,2175.6584
1278000000,321.61737,2169.8682
1287500000,327.21552,2164.0933
1297000000,340.728,2150.4138
1306500000,355.15479,2130.6621
1316000000,354.21719,2110.9045
1325500000,348.74719,2091.1392
1335000000,335.45032,2077.5002
1344500000,342.71484,2092.5117
1354000000,334.72736,2107.5337
1363500000,332.66464,2122.6013
1373000000,330.99783,2137.6216
1382500000,293.97958,2182.0334
1392000000,264.04132,2234.3494
1401500000,261.50754,2286.6111
1411000000,283.67801,2338.8938
1420500000,290.00528,2376.0071
1430000000,272.91357,2390.7322
1439500000,278.33707,2405.4043
1449000000,293.92267,2420.1035
1458500000,309.8779,2433.7571
1468000000,316.896,2389.0259
1477500000,331.08551,2344.28
1487000000,335.88928,2299.5884
1496500000,316.55579,2254.8579
1506000000,347.35275,2183.0115
1515500000,363.27353,2177.2507
1525000000,356.51318,2171.4946
1534500000,341.91522,2165.7214
1544000000,331.88797,2159.9075
1553500000,324.44647,2154.1321
1563000000,328.10568,2148.3647
1572500000,308.02707,2172.092
1582000000,282.27606,2231.2263
1591500000,271.36685,2290.3384
1601000000,267.09302,2349.4771
1610500000,272.11096,2408.5847
1620000000,291.69934,2467.7268
1629500000,312.40128,2526.781
1639000000,328.3085,2560.6572
1648500000,328.86197,2528.6567
1658000000,333.50171,2496.6707
1667500000,335.16766,2464.6707
1677000000,336.70319,2432.6707
1686500000,336.12164,2400.6753
1696000000,340.71036,2368.6709
1705500000,343.44556,2341.2322
1715000000,335.83969,2354.2813
1724500000,332.66382,2367.3965
1734000000,328.02032,2380.4849
1743500000,330.28778,2393.5313
1753000000,326.46326,2406.6465
1762500000,325.47812,2419.7444
1772000000,340.24542,2432.7813
1781500000,325.48218,2475.7756
1791000000,307.34579,2521.2571
1800500000,304.45956,2566.7415
1810000000,313.65408,2612.2295
1819500000,327.68362,2657.6621
1829000000,328.7926,2703.0969
1838500000,322.94742,2748.5803
1848000000,353.72794,2716.76
1857500000,389.46442,2658.6621
1867000000,405.05762,2600.5303
1876500000,405.98883,2542.4766
1886000000,406.04846,2484.3518
1895500000,386.02814,2426.2571
1905000000,359.10617,2368.1541
1914500000,334.26566,2357.2595
1924000000,319.20697,2382.0913
1933500000,305.93726,2406.9011
1943000000,294.24799,2431.7349
1952500000,298.49777,2456.5129
1962000000,316.42609,2481.3518
1971500000,339.28857,2506.1707
1981000000,350.24365,2533.8303
1990500000,351.85321,2565.9253
2000000000,361.41599,2598.0071
END

