!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Saturday, February 04, 2023 03:02:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(DB),SYSNPDI(DEG)
100000000,-166.52536,0.018216772
109500000,-166.36317,0.013202569
119000000,-166.31743,0.012248942
128500000,-166.26744,0.01339867
138000000,-166.23248,0.016596099
147500000,-165.81068,0.01342211
157000000,-166.26608,0.016651468
166500000,-166.16319,0.01603389
176000000,-166.14935,0.016049532
185500000,-166.15009,0.015805291
195000000,-166.14159,0.015319744
204500000,-166.07648,0.014384748
214000000,-166.08287,0.013494119
223500000,-166.04115,0.01258797
233000000,-165.98843,0.011930684
242500000,-165.94145,0.011414439
252000000,-165.91971,0.011027951
261500000,-165.91032,0.01067275
271000000,-165.92238,0.010413757
280500000,-165.9402,0.010249997
290000000,-165.95485,0.010203664
299500000,-165.94568,0.010294548
309000000,-165.9633,0.010821779
318500000,-165.94594,0.011439349
328000000,-165.87868,0.011692676
337500000,-165.91208,0.011535249
347000000,-165.75264,0.0088490238
356500000,-165.75473,0.0098974248
366000000,-165.78772,0.009797507
375500000,-165.9342,0.0099477135
385000000,-165.99789,0.0098237693
394500000,-165.96017,0.0094702253
404000000,-165.90482,0.0092962412
413500000,-165.88379,0.009486977
423000000,-165.78352,0.0095003964
432500000,-165.71136,0.0097055454
442000000,-165.66983,0.010007137
451500000,-165.64792,0.010291784
461000000,-165.58488,0.010174689
470500000,-165.61334,0.010272959
480000000,-165.64796,0.010221346
489500000,-165.66661,0.009981364
499000000,-165.70007,0.0097724609
508500000,-165.71851,0.009498449
518000000,-165.70975,0.0091610895
527500000,-165.68588,0.0088468203
537000000,-165.68585,0.0087299198
546500000,-165.64861,0.0085393088
556000000,-165.60834,0.0084160622
565500000,-165.55634,0.0083125988
575000000,-165.47958,0.0081638526
584500000,-165.41234,0.0080443854
594000000,-165.35526,0.0079452284
603500000,-165.31621,0.0078879343
613000000,-165.30592,0.0078963703
622500000,-165.34109,0.0079878177
632000000,-165.34229,0.0079085603
641500000,-165.34599,0.0077950237
651000000,-165.353,0.0076931152
660500000,-165.39067,0.0076973164
670000000,-165.41695,0.0076807286
679500000,-165.45107,0.0077615846
689000000,-165.50323,0.0079702344
698500000,-165.5202,0.0081167407
708000000,-165.55443,0.0083865179
717500000,-165.56134,0.0086226137
727000000,-165.55695,0.0087888567
736500000,-165.49802,0.0086670667
746000000,-165.50667,0.0086811772
755500000,-165.51826,0.010306322
765000000,-165.45619,0.010619899
774500000,-165.42746,0.011006615
784000000,-165.42645,0.01146095
793500000,-165.4194,0.011803908
803000000,-165.32773,0.01152469
812500000,-165.27188,0.01134551
822000000,-165.25562,0.011271088
831500000,-165.26921,0.011274482
841000000,-165.26868,0.01115561
850500000,-165.25807,0.010991191
860000000,-165.2513,0.010836709
869500000,-165.22226,0.010628443
879000000,-165.22937,0.010584945
888500000,-165.23892,0.010651664
898000000,-165.24702,0.010715044
907500000,-165.24081,0.010742934
917000000,-165.2323,0.010765942
926500000,-165.21275,0.010783171
936000000,-165.20038,0.010817676
945500000,-165.19615,0.010872461
