!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 18:39:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1886000000,2884.9807,0.44350982
1895500000,2815.823,0.45148033
1905000000,2728.041,0.45946535
1914500000,2692.1211,0.45877907
1924000000,2703.8774,0.45156646
1933500000,2713.0288,0.44433865
1943000000,2728.1248,0.43712592
1952500000,2751.7451,0.42989993
1962000000,2797.3933,0.42267221
1971500000,2841.2869,0.41545823
1981000000,2886.5222,0.40943322
1990500000,2918.6401,0.405283
2000000000,2958.6765,0.40113264
END

