!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 04:23:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPDI(REAL),SYSNPDI(IMAG)
1886000000,2892.144,0.44350982
1895500000,2816.2512,0.45148033
1905000000,2726.5342,0.45946535
1914500000,2699.2734,0.45877907
1924000000,2709.8018,0.45156646
1933500000,2713.6064,0.44433865
1943000000,2728.4321,0.43712592
1952500000,2760.8513,0.42989993
1962000000,2802.9175,0.42267221
1971500000,2841.8879,0.41545823
1981000000,2886.2617,0.40943322
1990500000,2927.7537,0.405283
2000000000,2963.9917,0.40113264
END

