!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 20:40:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,235.88918,1379.6732
109500000,272.85196,1402.63
119000000,284.53815,1408.4152
128500000,303.98743,1410.1633
138000000,310.54395,1413.0128
147500000,477.88632,1425.1312
157000000,287.9086,1427.7474
166500000,324.32623,1430.2966
176000000,326.65863,1434.38
185500000,327.88791,1431.1163
195000000,324.95602,1437.505
204500000,340.57208,1450.1285
214000000,320.10571,1467.1598
223500000,319.95471,1486.092
233000000,317.77625,1508.6317
242500000,325.42581,1522.594
252000000,326.31177,1527.7551
261500000,326.78955,1531.2842
271000000,326.61548,1526.866
280500000,323.71796,1520.7412
290000000,321.57288,1517.5059
299500000,319.44797,1523.9122
309000000,310.52484,1525.6158
318500000,324.10321,1519.6378
328000000,354.38434,1516.5132
337500000,329.46149,1528.8375
347000000,387.01773,1542.2444
356500000,403.43686,1522.9694
366000000,386.85056,1521.9944
375500000,326.01331,1521.719
385000000,285.00443,1533.9679
394500000,287.75763,1546.2133
404000000,294.1879,1563.5359
413500000,281.01099,1587.8861
423000000,300.14307,1612.2563
432500000,319.27911,1624.5881
442000000,328.60242,1633.6589
451500000,331.2811,1640.7902
461000000,365.56543,1637.4911
470500000,355.29099,1634.1389
480000000,345.49243,1629.0339
489500000,343.42529,1622.3418
499000000,333.4082,1615.6162
508500000,321.52875,1618.2902
518000000,323.78653,1622.1162
527500000,329.70758,1626.7411
537000000,322.17172,1633.6652
546500000,331.0799,1640.6313
556000000,328.04324,1661.6575
565500000,324.94342,1690.8878
575000000,327.65799,1720.1378
584500000,329.80008,1751.7628
594000000,328.22311,1783.406
603500000,332.8493,1800.8688
613000000,340.06998,1793.9938
622500000,329.65271,1787.1162
632000000,329.88153,1785.531
641500000,331.80939,1785.8696
651000000,325.4845,1785.1011
660500000,318.2735,1774.8696
670000000,316.81668,1764.6378
679500000,313.21927,1751.7826
689000000,302.58084,1735.9951
698500000,308.58148,1720.1635
708000000,310.97595,1707.1635
717500000,318.20444,1694.724
727000000,329.68787,1685.1378
