!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Wednesday, January 25, 2023 01:51:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),SYSNPD(REAL),SYSNPD(IMAG)
1886000000,2893.0525,0.44350982
1895500000,2814.5522,0.45148033
1905000000,2728.4199,0.45946535
1914500000,2696.803,0.45877907
1924000000,2706.197,0.45156646
1933500000,2711.3176,0.44433865
1943000000,2726.4377,0.43712592
1952500000,2761.2869,0.42989993
1962000000,2801.1831,0.42267221
1971500000,2844.4705,0.41545823
1981000000,2885.0671,0.40943322
1990500000,2922.8828,0.405283
2000000000,2964.3271,0.40113264
END

