!CSV A.01.01
!Keysight Technologies,N5242B,MY48420967,A.15.65.19
!Date: Tuesday, January 24, 2023 19:32:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),DUTNPD(REAL),DUTNPD(IMAG)
100000000,235.97678,1379.6732
109500000,273.20258,1402.63
119000000,283.40277,1408.4152
128500000,304.2146,1410.1633
138000000,310.9501,1413.0128
147500000,477.00516,1425.1312
157000000,287.12296,1427.7474
166500000,326.55359,1430.2966
176000000,326.28354,1434.38
185500000,329.38272,1431.1163
195000000,326.16583,1437.505
204500000,339.94388,1450.1285
214000000,319.40793,1467.1598
223500000,317.77832,1486.092
233000000,319.22797,1508.6317
242500000,324.74625,1522.594
252000000,327.40387,1527.7551
261500000,328.43423,1531.2842
271000000,328.54987,1526.866
280500000,324.36295,1520.7412
290000000,321.62286,1517.5059
299500000,319.33823,1523.9122
309000000,310.1806,1525.6158
318500000,322.88962,1519.6378
328000000,354.87796,1516.5132
337500000,332.30771,1528.8375
347000000,387.41003,1542.2444
356500000,403.71811,1522.9694
366000000,385.59274,1521.9944
375500000,324.4613,1521.719
385000000,284.79407,1533.9679
394500000,288.5983,1546.2133
404000000,295.54193,1563.5359
413500000,280.61935,1587.8861
423000000,301.22351,1612.2563
432500000,319.07681,1624.5881
442000000,330.19403,1633.6589
451500000,331.96652,1640.7902
461000000,365.79193,1637.4911
470500000,353.96283,1634.1389
480000000,344.14304,1629.0339
489500000,346.24301,1622.3418
499000000,334.91617,1615.6162
508500000,324.05579,1618.2902
518000000,323.90268,1622.1162
527500000,331.13705,1626.7411
537000000,322.18536,1633.6652
546500000,332.99939,1640.6313
556000000,329.47305,1661.6575
565500000,325.45526,1690.8878
575000000,329.83917,1720.1378
584500000,329.57477,1751.7628
594000000,328.33997,1783.406
603500000,332.52319,1800.8688
613000000,339.89737,1793.9938
622500000,330.09555,1787.1162
632000000,331.69305,1785.531
641500000,330.7692,1785.8696
651000000,324.57016,1785.1011
660500000,317.43356,1774.8696
670000000,318.62381,1764.6378
679500000,312.89725,1751.7826
689000000,303.02658,1735.9951
698500000,310.40463,1720.1635
708000000,311.85355,1707.1635
717500000,317.73541,1694.724
727000000,330.54453,1685.1378
736500000,355.5498,1686.4972
746000000,354.12552,1687.849
755500000,333.49036,1700.4646
765000000,347.51663,1711.8833
774500000,351.64862,1723.347
784000000,343.14389,1734.7628
793500000,330.79019,1747.4719
803000000,358.43726,1765.2587
812500000,370.18082,1783.0941
822000000,359.55829,1800.8837
831500000,331.61423,1818.7178
841000000,322.99399,1829.1361
850500000,322.24976,1837.8511
860000000,318.1608,1846.5111
869500000,316.24567,1855.2261
879000000,317.75665,1859.9692
888500000,310.41684,1859.2445
898000000,303.25436,1858.5134
907500000,306.62344,1857.8451
917000000,316.85425,1857.1604
926500000,323.71268,1858.5297
936000000,330.05099,1859.8861
945500000,326.83334,1861.2439
955000000,325.84717,1862.6162
964500000,337.22787,1873.5341
974000000,342.69308,1889.7242
983500000,341.84003,1905.8663
993000000,336.13663,1922.0087
1002500000,325.6868,1939.7826
1012000000,314.43167,1962.2244
